127.0.0.1 - - [16/Oct/2022:21:42:35 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:42:36 +0900] "GET /sns/Login/Login.jsp HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:42:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:42:41 +0900] "POST /sns/controller/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:42:41 +0900] "GET /sns/controller/HomePage HTTP/1.1" 200 18243
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:42:42 +0900] "GET /sns/controller/selectBoard?pageRoute=selectBoard HTTP/1.1" 200 18986
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:42:47 +0900] "GET /sns/controller/goMyPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:42:47 +0900] "GET /sns/controller/MyPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:42:47 +0900] "GET /sns/controller/selectAc?pageRoute=selectAc&memberId=admin HTTP/1.1" 200 9607
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:42:47 +0900] "GET /sns/profilephoto/admin.jpeg HTTP/1.1" 200 1811819
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:42:47 +0900] "GET /sns/ImageFile/ HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:42:47 +0900] "GET /sns/ImageFile//2022/10/08/y20221008175152.jpeg HTTP/1.1" 200 1878843
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:42:47 +0900] "GET /sns/ImageFile//2022/10/11/h20221011190702.jpeg HTTP/1.1" 200 1731572
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:42:47 +0900] "GET /sns/ImageFile//2022/10/11/x20221011190845.jpeg,/2022/10/11/r20221011190845.jpeg,/2022/10/11/w20221011190845.jpeg HTTP/1.1" 404 975
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:42:47 +0900] "GET /sns/ImageFile//2022/10/12/v20221012194632.jpeg HTTP/1.1" 200 1811819
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:42:47 +0900] "GET /sns/ImageFile//2022/10/12/a20221012194726.jpeg HTTP/1.1" 200 2870052
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:42:47 +0900] "GET /sns/ImageFile//2022/10/12/u20221012194741.jpeg HTTP/1.1" 200 1811819
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:43:06 +0900] "GET /sns/controller/SettingPage HTTP/1.1" 200 8766
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:43:09 +0900] "GET /sns/controller/changePrivateStatus HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:43:11 +0900] "GET /sns/controller/SettingPage HTTP/1.1" 200 8769
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:43:15 +0900] "GET /sns/controller/Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:43:15 +0900] "GET /sns/controller/LoginPage HTTP/1.1" 200 393
